Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Morocco,67.5,5.8,5.8,17.2,17.2,13500.0,0.0
Pakistan,40.6,0.9,2.3,113.5,44.4,752.4,0.1
Belarus,40.0,7.5,3.2,13.3,31.4,704.1,0.1
Montenegro,30.0,1.3,1.5,79.8,67.8,323.9,0.3
Russia,28.6,3.4,3.7,29.5,26.9,383.6,0.3
Romania,24.3,5.0,4.4,19.9,22.7,333.1,0.3
Lithuania,20.8,3.4,2.6,29.6,37.8,596.1,0.2
Serbia,18.8,2.8,3.6,35.2,27.8,232.9,0.4
Latvia,18.3,4.0,2.6,24.8,38.3,212.3,0.5
Ukraine,17.4,4.5,5.3,22.0,18.7,300.4,0.3
China,17.1,4.7,5.0,21.1,20.1,131.1,0.8
Spain,16.7,2.7,3.4,36.6,29.6,114.9,0.9
Hungary,16.5,3.6,3.9,28.1,25.5,165.4,0.6
South Korea,16.3,2.2,1.4,45.2,72.8,182.2,0.5
Thailand,16.0,5.9,5.4,17.0,18.7,160.2,0.6
Indonesia,15.8,8.3,9.0,12.1,11.1,136.2,0.7
Paraguay,15.6,4.7,3.3,21.5,30.6,468.1,0.2
Albania,15.4,2.5,5.0,39.8,20.2,121.8,0.8
Bosnia And Herzegovina,15.3,1.8,2.5,56.5,39.4,176.9,0.6
Slovakia,15.1,4.1,3.4,24.2,29.1,114.6,0.9
Czech Republic,14.9,3.7,3.3,27.3,30.0,149.4,0.7
Iran,14.6,7.5,8.7,13.3,11.6,184.6,0.5
Singapore,14.4,3.5,3.7,28.3,27.1,89.2,1.1
Italy,14.3,3.3,4.2,29.9,23.6,119.9,0.8
Estonia,14.1,2.5,1.9,40.0,53.8,141.3,0.7
Bulgaria,13.9,5.1,5.2,19.7,19.1,159.8,0.6
Japan,13.6,2.0,2.6,49.9,37.8,75.1,1.3
Poland,13.6,4.3,3.9,23.2,25.5,123.1,0.8
Croatia,12.7,3.5,4.1,28.4,24.5,123.0,0.8
France,12.7,2.9,3.2,35.0,30.9,100.4,1.0
Greece,12.2,3.2,2.8,31.3,36.0,113.7,0.9
United Kingdom,12.0,2.8,2.7,35.4,37.2,97.9,1.0
Argentina,11.8,3.9,5.5,25.4,18.3,661.9,0.2
Portugal,11.6,3.8,3.6,26.6,28.1,66.3,1.5
Malaysia,11.3,2.3,3.7,43.5,26.7,81.9,1.2
India,11.0,3.8,3.8,26.0,26.5,120.7,0.8
Jordan,10.9,9.0,9.3,11.2,10.7,115.8,0.9
Israel,10.9,4.2,7.7,23.8,12.9,75.7,1.3
Sri Lanka,9.8,5.4,7.3,18.5,13.6,91.4,1.1
Colombia,9.5,4.2,5.9,23.8,17.0,212.2,0.5
United Arab Emirates,8.6,5.9,7.9,17.0,12.6,89.7,1.1
Norway,8.1,3.9,4.3,25.5,23.1,61.7,1.6
Denmark,8.0,5.0,4.7,20.0,21.2,60.7,1.6
Ireland,7.7,3.8,3.8,26.5,26.1,71.3,1.4
Venezuela,7.6,11.8,13.8,8.5,7.3,100.9,1.0
Mexico,7.4,6.3,5.5,15.8,18.3,230.8,0.4
Kyrgyzstan,7.2,10.2,16.2,9.8,6.2,101.0,1.0
Peru,6.7,8.7,7.4,11.5,13.5,202.1,0.5
Netherlands,6.5,5.9,5.4,16.9,18.6,50.4,2.0
Australia,6.3,3.1,4.8,32.6,20.8,58.1,1.7
Brazil,6.3,5.4,6.9,18.6,14.6,64.0,1.6
Finland,6.2,3.3,4.3,30.5,23.5,42.3,2.4
Canada,6.2,4.6,5.3,21.8,18.8,48.1,2.1
Ecuador,5.8,10.4,10.0,9.6,10.0,74.3,1.3
Bahrain,5.7,14.4,14.2,6.9,7.0,59.8,1.7
Turkey,5.6,6.5,5.9,15.5,16.9,75.8,1.3
Switzerland,5.4,4.6,4.5,21.9,22.4,39.3,2.5
Austria,5.2,6.0,5.6,16.7,17.8,42.8,2.3
Cyprus,5.1,4.3,4.2,23.0,23.9,38.9,2.6
South Africa,5.1,12.3,7.2,8.2,13.9,57.1,1.8
Bangladesh,5.0,5.6,9.4,18.0,10.7,75.1,1.3
Honduras,4.8,11.6,9.4,8.6,10.6,62.9,1.6
Germany,4.3,4.5,4.1,22.0,24.2,30.7,3.3
Belgium,4.3,7.8,7.0,12.9,14.3,33.9,3.0
Sweden,4.2,3.4,4.3,29.4,23.2,33.9,3.0
Chile,4.1,10.5,5.9,9.6,16.9,50.3,2.0
Dominican Republic,3.5,11.3,11.6,8.9,8.6,49.8,2.0
United States,2.7,8.1,10.6,12.3,9.5,21.9,4.6
