Rank,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Indonesia,31.8,5.4,3.5,18.6,28.8,353.1,0.3
Algeria,30.5,2.0,2.1,50.2,46.9,284.0,0.4
China,29.8,3.5,3.2,28.2,31.3,247.5,0.4
Monaco,27.5,5.3,2.4,19.0,41.5,217.8,0.5
Tunisia,24.1,2.0,2.2,50.8,45.0,325.5,0.3
Morocco,23.8,8.9,5.9,11.2,16.9,245.1,0.4
Hong Kong,23.5,2.7,4.5,37.1,22.1,150.4,0.7
Vietnam,21.6,7.5,9.2,13.3,10.9,325.7,0.3
Belarus,21.5,4.1,3.8,24.3,26.7,413.2,0.2
Serbia,19.5,3.4,3.3,29.8,30.2,213.9,0.5
Montenegro,19.3,2.8,4.0,35.4,24.8,186.4,0.5
Japan,18.9,2.1,2.2,47.4,46.4,111.1,0.9
Lithuania,18.2,3.4,3.4,29.8,29.1,189.1,0.5
Taiwan,17.9,1.7,2.4,60.0,42.3,105.6,0.9
Ukraine,16.9,6.3,5.2,15.9,19.3,289.7,0.3
Pakistan,16.7,3.6,3.5,28.0,28.9,306.8,0.3
Singapore,16.6,3.5,4.6,28.4,21.7,106.3,0.9
Syria,16.4,4.7,7.1,21.1,14.1,167.4,0.6
Romania,15.5,4.1,4.4,24.4,22.9,162.8,0.6
North Macedonia,15.5,3.5,3.7,29.0,27.0,183.8,0.5
Moldova,15.5,5.4,4.8,18.4,20.8,334.8,0.3
Thailand,15.5,5.3,5.6,18.9,17.9,128.3,0.8
Mongolia,15.4,13.1,6.4,7.6,15.7,289.1,0.3
Albania,15.3,2.5,4.0,40.3,25.3,155.4,0.6
Nigeria,15.2,3.2,9.4,31.1,10.7,281.4,0.4
Kazakhstan,15.0,9.9,9.1,10.1,11.0,223.8,0.4
Slovenia,14.2,3.2,3.6,30.8,28.0,119.7,0.8
Russia,14.0,4.8,5.0,20.7,20.1,199.7,0.5
Armenia,13.7,9.9,8.0,10.1,12.5,185.1,0.5
Colombia,13.4,5.7,6.1,17.5,16.3,196.4,0.5
Brazil,13.4,5.5,5.8,18.0,17.1,161.5,0.6
Azerbaijan,13.1,9.2,17.5,10.8,5.7,162.1,0.6
Iran,12.9,5.4,6.8,18.4,14.7,224.5,0.4
Trinidad And Tobago,12.9,3.7,5.4,26.9,18.7,148.8,0.7
Uruguay,12.5,8.2,5.8,12.2,17.3,144.3,0.7
Poland,12.4,3.8,4.1,26.5,24.5,107.5,0.9
Paraguay,12.2,5.3,3.4,19.0,29.4,151.2,0.7
Croatia,12.2,2.9,3.3,34.3,30.7,112.2,0.9
Italy,12.1,3.3,4.1,30.1,24.5,92.8,1.1
Iraq,12.0,4.6,7.0,21.8,14.3,211.4,0.5
Argentina,12.0,5.2,5.1,19.3,19.8,255.3,0.4
South Korea,11.6,2.4,2.5,41.3,40.7,88.4,1.1
Hungary,11.5,4.4,4.4,22.8,22.9,113.5,0.9
Egypt,11.4,8.0,8.1,12.5,12.4,109.2,0.9
Latvia,11.2,4.7,4.4,21.4,22.7,78.9,1.3
El Salvador,11.1,4.7,5.7,21.4,17.7,120.3,0.8
Czech Republic,10.9,4.2,4.4,23.8,22.8,78.4,1.3
Greece,10.8,3.4,3.6,29.3,27.5,85.7,1.2
Bulgaria,10.8,5.6,6.0,17.8,16.7,114.1,0.9
Bosnia And Herzegovina,10.7,3.0,3.5,33.0,28.3,99.2,1.0
France,10.6,2.9,3.2,34.5,31.7,78.0,1.3
Georgia,10.4,7.4,6.9,13.4,14.5,174.1,0.6
Estonia,10.3,3.8,4.3,26.2,23.0,103.1,1.0
Israel,9.9,3.3,4.7,30.0,21.1,71.4,1.4
India,9.8,3.2,3.9,30.8,25.6,119.8,0.8
Spain,9.8,3.1,3.7,32.4,27.0,70.1,1.4
Ecuador,9.8,8.3,7.8,12.1,12.8,120.0,0.8
Slovakia,9.4,7.2,6.4,13.9,15.5,76.6,1.3
Chile,9.4,5.5,5.9,18.3,17.0,75.5,1.3
Afghanistan,8.9,6.2,5.2,16.0,19.1,295.1,0.3
Bangladesh,8.9,3.5,9.8,28.2,10.2,129.2,0.8
