Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Hong Kong,35.0,2.2,2.2,45.2,45.3,218.3,0.5
Syria,33.6,4.2,5.6,23.5,17.8,328.9,0.3
Vietnam,28.9,5.0,7.0,20.0,14.2,317.5,0.3
Ukraine,25.8,5.1,5.6,19.6,17.9,614.9,0.2
China,25.7,2.4,2.7,41.4,36.4,212.6,0.5
Thailand,24.1,4.1,3.7,24.6,27.1,208.4,0.5
Singapore,20.9,3.1,3.7,32.3,27.2,130.4,0.8
Algeria,20.6,3.0,3.5,33.2,28.2,167.2,0.6
Sri Lanka,20.5,4.4,3.8,22.9,26.4,278.8,0.4
Belarus,19.2,5.2,4.8,19.3,20.7,601.0,0.2
Azerbaijan,19.0,5.4,5.3,18.6,18.9,228.7,0.4
Ethiopia,18.6,11.9,9.7,8.4,10.4,226.5,0.4
Indonesia,18.6,4.4,4.9,22.6,20.6,217.5,0.5
Armenia,18.4,6.3,5.3,16.0,18.8,275.3,0.4
Colombia,18.2,4.6,4.9,21.8,20.4,258.6,0.4
Uruguay,18.0,4.4,3.9,22.8,25.6,183.2,0.5
Moldova,17.8,5.5,6.0,18.3,16.8,268.3,0.4
Serbia,17.6,3.1,3.4,32.3,29.4,148.7,0.7
Philippines,17.4,3.7,3.5,27.2,28.2,171.7,0.6
Nepal,16.9,2.5,3.6,39.9,27.6,197.5,0.5
Brazil,16.6,4.3,4.2,23.5,24.0,222.4,0.4
Taiwan,15.5,1.5,1.9,65.9,52.0,95.2,1.1
Albania,15.1,3.9,4.8,25.8,20.8,139.0,0.7
North Macedonia,14.9,3.6,3.6,27.6,28.1,133.4,0.7
Morocco,14.9,5.0,5.3,19.9,18.9,126.3,0.8
Montenegro,14.7,3.9,3.9,25.5,25.9,157.1,0.6
Peru,14.3,6.0,5.5,16.8,18.3,171.5,0.6
Kazakhstan,14.1,5.7,5.6,17.7,17.8,228.8,0.4
Iran,13.6,5.9,7.4,17.1,13.4,302.9,0.3
Japan,13.4,2.3,2.9,44.2,34.8,77.7,1.3
Russia,13.3,6.3,6.4,15.9,15.6,193.5,0.5
Georgia,13.3,7.7,7.9,13.0,12.6,174.2,0.6
South Korea,13.2,2.2,3.1,46.1,32.7,95.6,1.0
Argentina,13.1,3.5,3.8,28.2,26.3,348.3,0.3
Lebanon,13.0,6.1,6.5,16.5,15.4,114.0,0.9
Pakistan,12.6,4.0,3.9,24.9,25.5,175.3,0.6
Panama,12.4,11.2,9.3,8.9,10.8,103.1,1.0
Lithuania,12.3,4.2,4.4,24.0,22.5,79.1,1.3
Tunisia,12.1,4.8,5.1,20.7,19.5,108.8,0.9
Dominican Republic,12.1,7.1,6.7,14.0,14.9,156.2,0.6
Bangladesh,11.9,3.4,4.0,29.4,25.3,177.0,0.6
Ecuador,11.9,6.9,5.3,14.5,18.9,142.1,0.7
Sweden,11.8,2.4,3.0,40.9,32.9,72.1,1.4
Croatia,11.7,3.2,3.6,31.2,27.9,98.9,1.0
France,11.4,2.8,3.4,35.6,29.3,74.1,1.3
Bosnia And Herzegovina,11.2,3.4,3.2,29.7,31.5,105.0,1.0
Romania,11.0,4.8,4.6,21.0,21.6,88.3,1.1
Estonia,11.0,4.0,4.0,25.0,24.8,70.8,1.4
Latvia,11.0,4.5,5.0,22.2,20.1,74.2,1.3
Israel,11.0,3.4,3.5,29.4,28.8,70.5,1.4
Poland,10.9,4.5,5.1,22.4,19.8,79.7,1.3
Egypt,10.8,6.4,7.5,15.6,13.3,132.6,0.8
Hungary,10.8,5.5,6.1,18.1,16.4,93.9,1.1
India,10.8,3.0,3.8,33.2,26.5,129.9,0.8
Czech Republic,10.6,4.2,4.6,23.8,21.6,65.8,1.5
