Rank,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Hong Kong,41.1,1.9,1.9,51.4,52.3,257.2,0.4
China,28.2,1.8,2.1,56.8,47.1,224.3,0.4
Thailand,22.8,3.8,3.6,26.6,27.6,195.5,0.5
Algeria,22.2,2.6,2.8,39.1,35.6,184.3,0.5
Singapore,22.2,2.7,3.2,37.5,31.6,138.6,0.7
Vietnam,21.3,4.9,7.0,20.3,14.4,227.3,0.4
Azerbaijan,20.1,5.4,5.4,18.7,18.6,227.7,0.4
Peru,18.9,4.8,5.3,20.8,18.8,227.8,0.4
Uruguay,18.5,5.0,4.7,20.1,21.5,193.0,0.5
Ukraine,18.2,6.0,6.6,16.6,15.2,387.9,0.3
Colombia,18.1,4.2,4.4,23.9,22.6,249.8,0.4
Philippines,17.8,4.2,3.6,24.0,28.0,172.8,0.6
Serbia,17.2,3.2,3.4,31.3,29.5,129.7,0.8
Brazil,16.3,4.1,4.2,24.6,24.0,216.0,0.5
Belarus,16.0,5.0,4.6,20.1,21.7,298.6,0.3
Montenegro,15.1,3.4,4.0,29.1,25.3,139.5,0.7
Moldova,14.8,6.4,6.6,15.5,15.2,205.9,0.5
Taiwan,14.4,1.4,1.8,69.2,56.5,87.3,1.1
Albania,14.3,3.7,4.8,27.1,21.1,129.2,0.8
Panama,14.1,8.2,8.0,12.2,12.6,113.8,0.9
South Korea,14.0,1.8,1.9,55.7,53.7,98.2,1.0
Israel,13.9,2.6,3.1,38.0,32.7,94.4,1.1
Lebanon,13.7,5.0,5.9,19.9,16.9,121.3,0.8
Armenia,13.6,6.7,5.6,15.0,17.7,194.5,0.5
North Macedonia,13.6,3.9,3.7,25.5,26.8,122.5,0.8
Tunisia,13.5,4.2,4.9,23.7,20.4,123.2,0.8
Hungary,13.3,4.5,5.3,22.3,18.7,113.0,0.9
Morocco,13.3,5.3,5.1,18.7,19.8,112.1,0.9
Chile,13.1,4.4,4.3,22.9,23.1,101.3,1.0
Indonesia,13.1,4.6,4.8,21.9,20.7,136.1,0.7
Lithuania,13.0,4.0,4.2,25.2,23.7,79.1,1.3
Ecuador,13.0,5.4,5.1,18.5,19.6,161.7,0.6
Kazakhstan,12.8,6.3,5.9,16.0,16.8,229.9,0.4
Czech Republic,12.7,3.7,4.1,26.8,24.5,77.4,1.3
Dominican Republic,12.7,6.6,6.5,15.2,15.4,172.9,0.6
Egypt,12.7,6.9,6.7,14.5,14.9,207.7,0.5
Kosovo (Disputed Territory),12.7,3.7,4.9,27.1,20.4,109.4,0.9
Japan,12.6,2.0,2.6,49.3,39.1,71.0,1.4
Pakistan,12.5,4.4,4.1,22.6,24.3,159.6,0.6
Bangladesh,12.5,3.8,3.4,26.1,29.3,161.6,0.6
Iran,12.5,6.6,8.0,15.1,12.5,238.6,0.4
Georgia,12.4,7.2,7.6,13.9,13.1,154.6,0.6
Bosnia And Herzegovina,11.6,3.4,3.1,29.1,31.8,101.0,1.0
Russia,11.4,6.3,6.5,15.9,15.5,154.8,0.6
Luxembourg,11.2,3.9,4.0,25.4,25.2,67.6,1.5
Croatia,11.1,3.6,3.7,27.9,26.8,90.6,1.1
Switzerland,10.9,2.6,3.0,37.7,33.4,62.8,1.6
Bolivia,10.8,5.6,6.1,17.9,16.4,95.6,1.0
Argentina,10.7,4.2,4.2,23.8,23.8,286.2,0.3
Sweden,10.5,2.6,3.4,38.4,29.7,63.0,1.6
Portugal,10.0,5.5,6.4,18.1,15.7,65.6,1.5
France,9.9,3.2,3.7,31.3,27.4,60.8,1.6
Italy,9.9,3.5,4.3,28.3,23.4,63.2,1.6
Slovakia,9.9,5.5,5.8,18.1,17.4,59.6,1.7
Poland,9.8,4.9,5.3,20.4,18.9,69.6,1.4
Latvia,9.8,5.2,5.4,19.4,18.4,64.6,1.5
Malta,9.7,5.8,6.8,17.2,14.8,68.9,1.5
India,9.7,3.1,3.8,32.8,26.4,112.2,0.9
