Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Venezuela,151.5,5.7,5.9,17.4,17.1,3256.8,0.0
Syria,63.9,2.5,3.0,40.6,33.1,670.1,0.1
Hong Kong,49.4,1.8,1.9,55.0,53.1,314.6,0.3
Cambodia,46.5,4.7,5.8,21.3,17.3,528.9,0.2
China,30.3,1.8,1.9,56.1,52.9,240.1,0.4
Sri Lanka,29.6,2.7,2.3,36.4,42.7,459.9,0.2
Nepal,25.9,2.4,3.2,41.6,31.7,341.0,0.3
Iran,24.9,4.4,5.1,22.9,19.5,504.9,0.2
Philippines,23.6,3.5,3.4,28.6,29.0,229.0,0.4
Taiwan,23.2,1.4,1.5,73.5,67.4,139.5,0.7
Singapore,23.1,2.5,2.8,40.1,35.3,145.6,0.7
Vietnam,22.6,4.1,5.3,24.5,19.0,240.6,0.4
Thailand,21.7,3.1,3.8,31.9,26.4,183.9,0.5
Algeria,19.9,2.8,3.2,35.5,31.2,175.7,0.6
Colombia,19.5,4.4,4.1,22.6,24.3,259.0,0.4
Argentina,19.5,2.5,2.6,40.4,38.4,750.2,0.1
Azerbaijan,19.5,4.9,5.2,20.3,19.1,200.0,0.5
Serbia,19.4,3.1,3.4,32.4,29.5,140.9,0.7
Brazil,16.8,3.9,4.1,25.6,24.4,197.8,0.5
South Korea,16.2,1.4,1.7,70.0,57.2,113.0,0.9
Armenia,16.1,6.0,6.0,16.6,16.6,211.2,0.5
Uzbekistan,15.9,6.3,7.6,15.9,13.1,307.2,0.3
Uruguay,15.8,4.1,4.4,24.2,22.6,161.3,0.6
Albania,15.2,4.4,5.3,22.5,18.9,123.4,0.8
Indonesia,15.0,4.8,5.0,21.0,20.1,157.0,0.6
Peru,14.8,5.0,5.5,20.0,18.1,167.4,0.6
Morocco,14.5,4.5,4.5,22.4,22.4,119.2,0.8
Czech Republic,14.4,3.4,3.7,29.0,26.8,93.2,1.1
Belarus,14.3,4.9,4.7,20.6,21.3,217.8,0.5
Pakistan,14.1,4.0,4.0,24.7,25.1,194.2,0.5
Montenegro,14.1,4.3,4.2,23.3,23.6,120.5,0.8
France,13.7,2.4,3.0,42.1,33.8,80.8,1.2
Egypt,13.6,5.8,5.8,17.3,17.3,206.1,0.5
Georgia,13.6,7.1,7.8,14.1,12.8,180.0,0.6
Israel,13.5,3.0,3.1,33.7,31.9,94.8,1.1
Lebanon,13.5,5.0,6.0,20.0,16.7,119.6,0.8
Ukraine,13.4,6.5,7.6,15.5,13.2,271.4,0.4
Dominican Republic,13.3,6.5,7.0,15.5,14.3,183.5,0.5
Chile,13.3,4.3,4.3,23.0,23.4,96.6,1.0
North Macedonia,13.3,3.8,3.9,26.2,25.9,113.0,0.9
Moldova,13.1,5.9,6.6,17.0,15.1,159.7,0.6
Portugal,13.0,4.8,6.0,20.7,16.6,81.8,1.2
Bangladesh,12.9,3.0,3.6,33.1,27.7,162.1,0.6
Japan,12.8,2.2,2.6,45.1,39.2,73.8,1.4
Panama,12.8,7.8,7.7,12.8,13.0,102.2,1.0
Croatia,12.7,3.4,3.5,29.6,28.8,95.6,1.0
Bosnia And Herzegovina,12.7,3.2,3.1,31.1,32.3,101.5,1.0
Hungary,12.5,4.4,4.8,23.0,20.9,101.5,1.0
Ecuador,12.0,5.6,5.4,17.9,18.5,143.5,0.7
Kazakhstan,11.7,6.5,6.1,15.5,16.3,195.0,0.5
Kosovo (Disputed Territory),11.6,4.5,5.2,22.2,19.1,93.3,1.1
Tunisia,11.5,4.7,4.9,21.4,20.4,116.6,0.9
Luxembourg,11.3,3.8,4.2,26.4,23.8,68.9,1.5
India,11.3,3.0,3.5,33.3,28.5,126.3,0.8
Malta,11.3,5.7,7.2,17.6,13.9,78.6,1.3
Romania,11.2,4.4,4.6,22.7,21.8,88.5,1.1
Russia,11.1,6.0,5.7,16.6,17.4,134.9,0.7
Lithuania,11.0,4.1,4.0,24.4,24.7,68.1,1.5
Poland,10.9,4.7,5.0,21.5,19.9,78.8,1.3
Guatemala,10.7,6.6,7.6,15.1,13.1,106.1,0.9
Austria,10.6,3.3,3.8,30.2,26.0,65.4,1.5
Slovenia,10.6,3.8,3.8,26.2,26.3,73.3,1.4
Slovakia,10.1,5.2,5.3,19.1,18.8,59.4,1.7
Mexico,10.0,6.1,6.0,16.5,16.6,124.4,0.8
Greece,10.0,4.4,4.1,22.7,24.5,78.0,1.3
Bolivia,9.9,6.4,6.5,15.6,15.4,94.3,1.1
United Kingdom,9.8,3.6,4.2,27.6,24.0,66.6,1.5
Malaysia,9.7,3.7,3.9,26.9,25.7,73.6,1.4
Sweden,9.6,2.8,3.4,35.1,29.1,63.8,1.6
Costa Rica,9.6,6.6,5.8,15.3,17.2,108.2,0.9
Spain,9.5,4.4,5.1,22.8,19.5,59.4,1.7
Italy,9.4,3.9,4.8,25.7,20.9,57.5,1.7
Germany,9.4,3.2,3.5,31.3,29.0,56.6,1.8
Switzerland,9.1,2.9,3.2,34.9,30.9,53.3,1.9
Estonia,9.1,4.1,4.3,24.6,23.4,58.1,1.7
Bulgaria,9.0,5.2,5.5,19.3,18.2,66.7,1.5
Turkey,8.9,5.0,5.5,19.9,18.1,197.6,0.5
Latvia,8.7,4.6,5.3,21.9,18.9,55.6,1.8
Jordan,8.7,6.4,7.0,15.5,14.3,87.6,1.1
Norway,8.6,3.7,4.1,27.1,24.5,55.8,1.8
New Zealand,8.5,4.4,4.6,22.6,21.8,66.5,1.5
