Rank,Health Care Index,Health Care
Taiwan,86.4,158.9
South Korea,82.3,150.7
France,81.0,148.6
Japan,80.7,147.3
Denmark,80.0,147.3
Spain,78.8,145.1
Austria,78.4,143.5
Thailand,78.1,142.4
Australia,77.7,141.6
Finland,76.4,139.2
Netherlands,75.8,138.2
Norway,75.5,137.9
Czech Republic,75.4,138.4
Belgium,75.2,136.6
United Kingdom,74.9,137.5
Switzerland,74.5,139.4
Germany,73.8,134.4
Israel,73.8,135.2
New Zealand,73.6,133.7
Qatar,73.0,132.6
Estonia,72.8,133.2
Sri Lanka,72.6,131.4
Mexico,72.5,130.7
Portugal,71.9,130.8
Canada,71.8,131.9
Lithuania,71.0,128.6
Singapore,70.9,131.4
Turkey,70.7,127.3
Malaysia,69.6,125.4
United States,69.0,126.9
Ecuador,68.8,123.4
Sweden,68.8,125.9
Argentina,68.6,124.2
United Arab Emirates,68.0,125.7
Uruguay,67.7,122.2
Malta,67.1,120.0
Philippines,67.1,119.9
Italy,66.8,121.0
Colombia,66.7,119.6
China,66.4,119.0
Hong Kong,66.3,120.4
India,66.2,118.7
Guatemala,65.9,117.6
Iceland,65.7,119.8
Jordan,65.4,117.6
Slovenia,65.3,120.3
Croatia,64.2,117.8
South Africa,63.9,115.2
Chile,63.7,115.7
Lebanon,63.3,118.0
Costa Rica,62.9,113.6
Latvia,62.2,111.8
Slovakia,60.9,110.1
Saudi Arabia,60.7,108.1
Pakistan,60.5,107.2
Indonesia,60.5,107.3
Panama,60.4,107.1
Kazakhstan,60.1,106.1
Kuwait,59.0,105.3
Russia,58.4,103.2
Oman,58.4,103.8
Vietnam,58.3,101.8
Poland,58.3,103.9
Nepal,57.9,101.8
Brazil,57.3,102.0
Greece,57.0,101.1
North Macedonia,56.5,100.8
Peru,56.4,98.7
Tunisia,56.2,98.4
Bulgaria,56.1,99.5
Romania,56.1,98.9
Kenya,55.8,98.6
Puerto Rico,55.6,101.2
Algeria,55.0,99.7
Dominican Republic,55.0,95.9
Georgia,53.8,93.3
Trinidad And Tobago,53.8,99.0
Bosnia And Herzegovina,53.5,95.8
Ukraine,53.4,93.4
Ireland,52.8,96.0
Cyprus,52.7,91.3
Iran,52.2,91.0
Hungary,51.6,92.9
Serbia,51.6,92.7
Albania,50.7,88.1
Nigeria,48.9,84.5
Egypt,46.2,79.3
Morocco,45.8,78.2
Iraq,44.6,75.8
Belarus,44.4,78.4
Azerbaijan,44.0,76.2
Bangladesh,42.7,73.0
Venezuela,39.7,69.1
