Country,Health_Care,Health_Exp.
Taiwan,86.4,159.0
South Korea,82.7,151.4
Japan,80.5,146.9
France,80.2,146.9
Denmark,80.1,147.6
Spain,78.4,144.2
Australia,78.1,142.5
Thailand,77.6,141.5
Norway,76.8,140.6
Austria,76.7,139.9
Finland,76.3,139.0
Netherlands,75.6,137.8
Belgium,75.5,137.1
Czech Republic,75.3,138.4
Switzerland,74.8,139.9
United Kingdom,74.8,137.4
Israel,73.8,135.2
Qatar,73.5,133.7
Estonia,73.3,134.3
New Zealand,73.3,133.2
Germany,73.2,133.4
Mexico,72.8,131.5
Sri Lanka,72.1,130.4
Portugal,72.0,130.9
Lithuania,71.9,130.5
Canada,71.3,131.0
Singapore,71.1,131.8
Turkey,70.8,127.5
Luxembourg,70.8,127.7
Malaysia,70.1,126.4
Argentina,69.3,125.6
Ecuador,69.3,124.2
United States,69.1,126.9
United Arab Emirates,68.7,126.9
Sweden,68.7,125.7
Uruguay,68.4,123.6
Philippines,67.5,120.9
Colombia,67.2,120.5
Italy,66.8,121.1
China,66.4,119.0
Iceland,66.4,121.0
Hong Kong,66.3,120.4
Guatemala,65.9,117.6
India,65.7,117.4
Jordan,65.6,118.0
Slovenia,65.2,120.3
Croatia,64.1,116.9
South Africa,64.0,115.3
Chile,64.0,116.3
Kenya,63.4,112.9
Costa Rica,62.7,113.1
Lebanon,62.7,117.1
Latvia,62.4,112.2
Panama,61.1,108.4
Saudi Arabia,60.9,108.5
Indonesia,60.4,107.3
Slovakia,60.3,109.1
Kazakhstan,60.0,105.9
Pakistan,59.6,105.4
Kuwait,59.4,106.1
Russia,59.1,104.4
Vietnam,58.9,103.1
Oman,58.2,103.5
Nepal,57.9,101.8
Brazil,57.8,102.9
Poland,57.8,102.9
Puerto Rico,57.7,104.9
Greece,57.3,101.8
Tunisia,56.5,99.0
Bulgaria,56.4,100.1
Romania,56.2,99.1
Peru,56.2,98.3
North Macedonia,55.8,99.7
Dominican Republic,55.5,97.3
Ukraine,54.3,95.0
Bosnia And Herzegovina,54.3,96.9
Georgia,54.2,94.1
Hungary,53.4,96.0
Trinidad And Tobago,53.4,98.3
Algeria,52.9,95.9
Serbia,52.5,94.2
Ireland,52.3,95.1
Iran,52.3,91.0
Cyprus,52.0,89.9
Albania,50.5,87.9
Cambodia,49.4,87.4
Nigeria,48.5,83.7
Egypt,47.0,80.8
Morocco,46.7,79.9
Belarus,45.6,80.5
Malta,45.6,77.4
Azerbaijan,44.8,77.7
Iraq,44.6,76.1
Bangladesh,42.3,72.2
Venezuela,39.3,68.6
