Rank,Health Care Index,Health Care
South Korea,88.4,163.0
Taiwan,84.7,155.6
France,80.6,147.9
Japan,80.2,146.5
Thailand,79.8,145.7
Sri Lanka,79.4,144.9
Austria,78.8,145.3
Belgium,78.2,143.2
Denmark,78.2,144.9
Spain,76.6,141.3
Germany,76.0,139.2
Israel,75.5,138.2
Hong Kong,75.3,138.7
Finland,74.8,136.2
Sweden,74.7,137.4
Czech Republic,74.6,137.0
United Kingdom,74.3,136.1
Australia,74.1,134.8
Argentina,74.1,135.2
Norway,73.9,135.3
New Zealand,72.2,131.0
Turkey,71.9,129.6
Estonia,71.3,131.8
Jordan,71.2,129.6
Singapore,70.9,130.7
Switzerland,69.9,130.6
Portugal,69.8,126.4
Netherlands,69.2,126.7
Qatar,68.9,124.3
Philippines,68.8,123.3
Canada,68.8,126.3
India,68.4,122.8
United States,68.2,126.3
Mexico,68.0,121.6
Lithuania,67.6,121.8
Colombia,67.5,121.1
Iceland,66.7,121.1
Uruguay,66.6,119.1
Italy,66.6,121.1
Malaysia,65.8,118.7
Ecuador,65.7,118.5
Indonesia,65.4,117.0
Lebanon,64.0,116.4
Tunisia,63.3,112.5
Slovenia,63.1,115.5
North Macedonia,62.4,111.0
China,62.2,110.8
Croatia,61.8,114.3
South Africa,61.5,110.3
Slovakia,61.1,110.6
Bosnia And Herzegovina,60.9,109.9
Saudi Arabia,60.9,109.8
Poland,60.5,109.1
Chile,60.3,108.7
Peru,60.2,108.1
United Arab Emirates,59.6,109.8
Pakistan,58.6,103.9
Cyprus,58.0,101.9
Puerto Rico,57.5,106.4
Serbia,55.8,100.7
Russia,55.4,97.3
Greece,55.0,97.1
Bulgaria,53.4,95.4
Ireland,53.4,96.5
Romania,53.1,93.7
Hungary,52.5,93.9
Brazil,52.0,92.2
Iran,50.1,88.5
Bangladesh,49.9,86.8
Ukraine,48.1,83.7
Egypt,46.6,80.8
Morocco,45.3,76.9
Vietnam,42.3,71.3
Venezuela,34.8,60.0
