Rank,Health Care Index,Health Care
Panama,85.7,158.1
Taiwan,84.3,154.9
Denmark,82.4,153.2
France,81.0,149.1
Thailand,80.7,147.9
Japan,80.1,146.5
Austria,76.5,140.9
Germany,76.4,140.1
Israel,76.2,139.9
Belgium,75.5,138.1
Hong Kong,75.5,139.0
Cyprus,75.3,136.6
Finland,75.2,136.8
Sweden,75.2,138.2
Argentina,74.8,136.6
Norway,74.6,137.2
Iceland,74.3,135.2
Spain,74.2,137.4
Philippines,73.8,133.2
United Kingdom,73.7,135.4
New Zealand,73.6,133.6
Turkey,73.5,132.7
South Korea,73.3,131.9
Australia,72.7,132.4
Colombia,70.5,127.7
Jordan,70.0,128.5
Mexico,69.1,123.9
Canada,68.9,127.1
Netherlands,68.8,126.4
Czech Republic,67.7,124.8
Estonia,67.7,124.7
United States,67.1,125.0
Malaysia,66.8,121.1
Portugal,66.6,120.3
Singapore,66.6,123.0
Switzerland,66.5,123.7
Ecuador,66.4,121.2
India,66.3,118.6
Italy,66.3,121.1
Lithuania,64.9,117.1
Indonesia,63.7,114.4
Chile,63.2,114.6
Saudi Arabia,60.0,109.3
Croatia,59.2,108.1
China,58.9,105.1
Puerto Rico,58.7,110.2
Poland,58.4,105.7
North Macedonia,58.2,103.6
South Africa,58.0,103.7
Pakistan,56.8,99.8
Slovakia,56.8,102.0
Greece,56.0,98.6
Bulgaria,55.3,99.9
Costa Rica,55.1,97.1
Serbia,54.3,96.2
United Arab Emirates,53.9,101.3
Russia,53.7,94.1
Slovenia,53.3,97.7
Bosnia And Herzegovina,52.5,94.3
Egypt,51.7,90.7
Brazil,50.6,89.8
Hungary,50.0,89.6
Ireland,49.7,90.8
Romania,48.5,85.6
Iran,48.0,86.0
Ukraine,46.2,81.1
Venezuela,36.6,63.3
