Rank,Health Care Index,Health Care
South Korea,83.4,152.6
Taiwan,82.0,149.8
Japan,81.7,149.4
Netherlands,81.1,148.5
Thailand,80.9,147.7
Belgium,80.4,147.4
Austria,78.8,144.7
France,78.0,142.8
Sri Lanka,77.9,141.7
Spain,77.5,142.8
Denmark,77.1,142.2
Australia,76.2,138.8
Germany,75.4,137.6
Finland,75.4,137.0
Czech Republic,75.4,138.4
Norway,74.7,136.4
United Kingdom,74.2,135.8
Israel,74.1,135.6
New Zealand,72.0,130.4
Switzerland,71.7,134.8
Estonia,71.3,130.3
Argentina,71.3,129.7
Canada,70.6,129.6
Qatar,70.5,128.0
Sweden,70.4,129.3
Turkey,70.4,126.6
Singapore,69.6,129.4
Portugal,69.5,125.9
Mexico,68.6,122.7
United States,68.4,126.1
Philippines,68.2,122.0
Italy,68.0,123.6
Colombia,67.8,121.8
India,67.4,121.0
Lithuania,66.8,120.4
Indonesia,66.0,118.3
Malaysia,65.6,117.7
Iceland,65.5,119.1
Slovenia,64.7,118.8
Slovakia,64.4,116.8
Croatia,63.8,117.9
Hong Kong,63.8,115.8
United Arab Emirates,63.5,117.3
South Africa,63.0,113.1
China,62.9,112.3
North Macedonia,62.7,111.9
Poland,62.1,111.7
Chile,61.9,112.4
Uruguay,60.4,108.6
Saudi Arabia,60.2,107.3
Pakistan,57.5,101.0
Russia,56.8,99.9
Puerto Rico,56.3,103.5
Bosnia And Herzegovina,55.9,100.9
Cyprus,55.1,96.2
Romania,54.6,96.1
Greece,54.2,95.5
Serbia,53.4,96.8
Ireland,53.0,96.4
Brazil,52.7,93.1
Vietnam,52.4,90.5
Bulgaria,52.1,92.7
Iran,51.2,90.2
Hungary,51.1,91.7
Ukraine,50.1,87.4
Bangladesh,44.6,76.5
Egypt,44.4,76.5
Morocco,41.0,69.0
Venezuela,39.6,68.2
