Country,Health_Care,Health_Exp.
Taiwan (China),85.9,157.8
South Korea,83.0,152.0
Japan,80.3,146.4
France,79.4,145.3
Denmark,79.2,145.8
Spain,77.9,143.3
Thailand,77.9,142.0
Austria,77.2,140.7
Netherlands,77.1,140.7
Finland,77.1,140.6
Norway,76.7,140.3
Czech Republic,75.5,138.6
Australia,75.3,136.9
Belgium,75.2,136.4
Luxembourg,75.0,136.0
Switzerland,74.5,139.3
United Kingdom,74.1,136.0
Estonia,74.1,135.8
Qatar,73.8,134.3
Israel,73.5,134.5
Lithuania,73.2,132.9
Mexico,72.5,130.8
Sri Lanka,72.0,130.1
Germany,71.9,130.7
Portugal,71.5,129.9
New Zealand,71.0,128.7
Turkey,71.0,127.8
Singapore,70.9,131.4
Canada,70.4,129.2
Malaysia,70.0,126.1
United Arab Emirates,69.6,128.1
Ecuador,69.5,124.6
Argentina,68.9,124.8
Sweden,68.6,125.6
United States,68.6,126.0
Uruguay,68.4,123.6
Colombia,67.9,121.9
Philippines,67.8,121.4
Guatemala,67.5,120.6
China,67.5,121.2
Iceland,67.0,122.2
Italy,66.3,120.1
Hong Kong (China),65.8,119.5
Slovenia,65.3,120.5
India,65.1,116.3
Jordan,64.9,116.7
Chile,64.4,117.1
Croatia,63.9,116.6
South Africa,63.7,114.8
Lebanon,63.2,117.8
Costa Rica,63.1,113.7
Latvia,62.4,111.8
Kenya,61.8,109.7
Saudi Arabia,61.2,109.1
Panama,61.0,108.2
Indonesia,60.5,107.4
Slovakia,60.1,108.6
Kazakhstan,59.9,105.8
Russia,59.7,105.8
Kuwait,59.7,106.7
Pakistan,59.5,105.2
Vietnam,59.3,103.9
Oman,58.2,103.6
Brazil,58.2,103.5
Poland,57.6,102.6
Greece,57.5,102.1
Puerto Rico,57.3,104.1
Tunisia,57.1,100.2
Nepal,57.0,100.2
Bulgaria,56.7,100.6
Romania,56.5,99.7
Peru,55.9,97.8
Dominican Republic,55.5,97.3
North Macedonia,55.3,98.7
Ukraine,55.2,96.8
Bosnia And Herzegovina,54.9,98.0
Georgia,54.8,95.5
Cyprus,54.7,95.3
Hungary,54.4,97.6
Algeria,53.6,97.1
Trinidad And Tobago,53.4,98.5
Iran,52.3,91.0
Serbia,52.2,93.6
Ireland,51.8,94.2
Albania,49.6,86.3
Nigeria,48.5,83.7
Egypt,47.6,81.8
Belarus,47.1,83.0
Azerbaijan,46.8,81.4
Morocco,45.8,78.2
Malta,45.4,77.3
Iraq,43.5,73.9
Bangladesh,42.3,72.3
Venezuela,39.3,68.6
