Rank,Health Care Index,Health Care
Taiwan,85.3,156.8
South Korea,84.3,154.6
Japan,82.2,150.5
Belgium,80.9,148.3
Denmark,79.9,147.3
Thailand,79.2,144.5
Austria,79.2,145.4
Netherlands,79.1,144.7
France,78.7,144.1
Spain,77.9,143.5
Australia,75.8,137.8
Norway,75.0,137.2
Finland,75.0,136.3
Germany,74.9,136.6
Czech Republic,74.6,137.1
Israel,74.2,135.9
United Kingdom,74.1,135.8
Ecuador,73.9,133.5
Sri Lanka,73.6,132.9
Qatar,72.9,132.4
New Zealand,72.6,131.6
Estonia,72.5,132.8
Switzerland,72.2,135.9
Argentina,70.5,128.2
Canada,70.1,128.6
United Arab Emirates,69.9,128.6
Turkey,69.7,125.3
Mexico,69.6,124.7
Portugal,69.5,126.0
Singapore,69.3,128.9
Sweden,69.0,126.2
United States,68.9,126.9
India,68.0,122.4
Malaysia,67.5,121.4
Lithuania,67.3,121.3
Italy,67.1,121.7
Colombia,67.0,120.2
Lebanon,67.0,124.3
Hong Kong,66.8,121.4
Philippines,66.6,118.9
Jordan,64.8,116.7
Chile,64.2,116.4
Iceland,63.9,116.4
Uruguay,63.9,115.0
Slovenia,63.6,116.8
China,63.5,113.8
South Africa,63.3,114.0
Indonesia,63.0,112.3
Slovakia,62.9,113.7
Croatia,62.6,115.1
Poland,62.5,112.4
Costa Rica,61.9,111.4
Tunisia,60.2,106.7
North Macedonia,59.1,105.4
Pakistan,58.9,103.9
Saudi Arabia,58.9,104.8
Russia,57.3,100.9
Belarus,56.2,100.3
Greece,55.5,98.1
Puerto Rico,55.3,100.9
Bosnia And Herzegovina,54.6,97.9
Vietnam,54.5,94.4
Romania,54.2,95.5
Brazil,54.2,96.1
Serbia,54.2,97.8
Bulgaria,53.9,95.5
Nigeria,53.0,93.1
Iran,52.0,91.1
Cyprus,50.7,87.7
Ukraine,50.3,87.9
Ireland,48.2,86.4
Hungary,47.8,86.3
Egypt,44.2,75.6
Bangladesh,42.1,72.0
Venezuela,39.7,68.6
Morocco,36.8,61.2
