Rank,Health Care Index,Health Care
Taiwan,86.9,160.0
South Korea,83.6,153.2
Japan,80.5,147.0
Austria,79.5,145.8
Denmark,79.2,146.1
Thailand,78.4,142.9
Spain,78.4,144.3
France,78.3,143.5
Belgium,78.3,143.0
Australia,76.8,139.9
Netherlands,75.6,137.8
Finland,75.3,136.9
United Kingdom,74.9,137.4
Czech Republic,74.5,136.8
Norway,74.4,135.7
New Zealand,73.7,133.7
Germany,73.6,134.0
Switzerland,73.2,137.8
Qatar,73.2,132.8
Sri Lanka,73.0,131.9
Israel,73.0,133.5
Portugal,71.6,130.2
Canada,71.3,130.9
Singapore,71.1,132.0
Ecuador,70.8,127.3
Turkey,69.9,125.7
Argentina,69.8,126.9
Sweden,69.4,127.3
Mexico,69.4,124.3
United States,69.2,127.3
Lithuania,68.8,124.4
Estonia,68.5,124.5
India,68.2,122.7
Malaysia,67.8,122.0
Colombia,67.6,121.3
Hong Kong,66.9,121.4
Italy,66.6,120.7
Philippines,66.4,118.6
Uruguay,66.1,119.4
United Arab Emirates,66.1,122.4
Iceland,65.7,119.7
Croatia,65.6,120.2
Jordan,65.4,118.3
Chile,65.2,118.3
Lebanon,64.7,119.8
China,64.2,114.9
Slovenia,63.7,117.4
Latvia,63.7,114.7
South Africa,63.3,113.9
Costa Rica,62.6,112.8
Poland,62.5,112.3
Indonesia,61.9,110.0
Pakistan,60.5,107.1
Slovakia,60.5,109.5
Saudi Arabia,60.0,107.1
Panama,59.9,106.0
Belarus,58.9,104.9
Russia,57.6,101.7
Tunisia,57.4,101.0
North Macedonia,57.3,102.2
Nepal,56.3,98.3
Peru,56.3,99.0
Brazil,55.6,98.8
Puerto Rico,55.5,101.3
Greece,55.5,98.1
Vietnam,55.2,95.9
Bulgaria,55.1,97.4
Algeria,55.1,100.0
Romania,55.0,96.7
Kenya,55.0,97.0
Kuwait,54.9,97.9
Dominican Republic,54.1,94.5
Nigeria,53.5,93.5
Albania,53.0,92.7
Bosnia And Herzegovina,52.3,93.6
Cyprus,52.1,90.0
Serbia,52.0,93.8
Iran,51.9,90.5
Georgia,51.7,89.2
Ireland,51.4,93.4
Ukraine,51.1,89.2
Kazakhstan,50.2,88.4
Hungary,47.6,86.2
Egypt,44.8,76.6
Bangladesh,42.5,72.8
Azerbaijan,41.6,72.0
Iraq,41.3,70.2
Venezuela,40.2,69.8
Morocco,39.4,65.9
