Rank,Health Care Index,Health Care
Panama,85.6,158.4
Thailand,85.0,156.8
Japan,84.8,155.8
Denmark,82.6,153.4
Taiwan,82.3,151.1
South Korea,82.1,151.6
France,81.6,150.6
Malta,81.1,149.3
Sri Lanka,80.6,148.6
Hong Kong,80.4,147.7
Austria,77.8,143.4
Belgium,77.5,142.3
Israel,77.4,142.0
Sweden,77.1,141.8
Cyprus,77.0,139.5
Georgia,76.9,141.6
Germany,76.7,140.7
Dominican Republic,76.1,137.8
Norway,75.4,139.1
Argentina,75.3,137.6
Qatar,75.0,143.1
Spain,74.2,137.7
Jordan,74.1,136.0
New Zealand,73.6,134.2
Philippines,73.2,132.1
United Kingdom,72.8,133.8
Canada,72.4,134.1
Australia,71.9,131.2
Estonia,71.7,132.4
Lithuania,69.9,126.6
Mexico,69.8,125.3
Finland,69.0,124.7
Malaysia,68.9,124.9
United States,68.2,127.1
Switzerland,68.0,127.6
Uruguay,67.9,123.9
Colombia,67.9,122.0
Albania,67.4,122.5
Netherlands,66.7,123.1
Czech Republic,66.3,122.2
Portugal,66.0,120.7
Italy,66.0,120.9
Latvia,65.0,122.2
Kuwait,64.5,119.8
Indonesia,64.5,115.6
India,64.0,114.0
Nepal,63.4,114.0
Ecuador,63.1,117.5
Singapore,63.0,118.8
China,61.5,112.2
Lebanon,61.3,112.0
South Africa,60.9,109.5
Chile,60.6,108.1
Turkey,60.2,107.0
Peru,60.2,111.3
Bulgaria,59.6,108.5
Puerto Rico,59.3,111.0
Morocco,59.3,108.7
United Arab Emirates,59.1,110.8
Slovakia,58.8,106.3
Kazakhstan,58.6,109.7
Egypt,58.3,103.6
Greece,57.8,102.5
Croatia,57.7,106.5
Kenya,57.1,104.0
Montenegro,56.9,103.7
Slovenia,55.9,103.2
Costa Rica,55.6,98.2
Serbia,54.7,98.0
Bosnia And Herzegovina,54.4,97.8
Poland,54.3,98.9
Cambodia,54.2,97.6
Moldova,53.9,108.0
Saudi Arabia,53.5,96.9
Russia,52.7,91.7
Pakistan,52.2,91.1
Iceland,51.4,96.5
Brazil,51.2,91.6
Iran,50.0,88.1
Hungary,49.7,89.2
Oman,48.1,87.2
Belarus,48.0,85.0
Ukraine,46.9,81.9
Ireland,46.7,85.1
Romania,46.7,82.4
Bolivia,45.7,78.1
Nigeria,45.5,80.0
Trinidad And Tobago,45.0,83.6
Venezuela,42.8,74.0
Vietnam,35.4,60.9
North Macedonia,33.1,61.1
Iraq,30.0,51.5
Mongolia,27.2,50.8
Azerbaijan,26.7,50.3
