Rank,Health Care Index,Health Care
Taiwan,86.4,158.9
South Korea,82.4,150.7
France,80.6,147.7
Japan,80.2,146.4
Denmark,79.8,147.0
Spain,78.8,145.2
Australia,77.9,141.9
Thailand,77.7,141.5
Austria,77.0,140.5
Finland,76.2,138.8
Norway,75.6,138.0
Czech Republic,75.4,138.4
Belgium,75.4,136.9
Netherlands,75.3,137.3
United Kingdom,75.1,137.9
Switzerland,74.1,138.7
Israel,73.9,135.4
New Zealand,73.6,133.7
Germany,73.5,133.9
Qatar,73.2,133.0
Luxembourg,72.9,132.0
Sri Lanka,72.7,131.6
Estonia,72.7,133.0
Mexico,72.5,130.7
Portugal,71.9,130.7
Canada,71.7,131.7
Singapore,71.2,132.1
Lithuania,70.9,128.5
Turkey,70.7,127.4
Malaysia,70.0,126.2
United States,69.1,127.1
Argentina,69.0,125.1
Sweden,68.8,126.0
United Arab Emirates,68.2,126.0
Ecuador,68.2,122.2
Uruguay,67.8,122.4
Philippines,67.2,120.2
Italy,67.0,121.5
Colombia,66.9,120.0
Hong Kong,66.4,120.4
China,66.2,118.6
Guatemala,65.9,117.6
Iceland,65.9,120.1
India,65.8,117.8
Jordan,65.4,117.7
Slovenia,65.2,120.1
Chile,64.0,116.3
Croatia,64.0,117.3
South Africa,63.9,115.3
Lebanon,63.1,117.7
Costa Rica,62.2,112.2
Latvia,62.0,111.4
Saudi Arabia,60.9,108.5
Panama,60.7,107.7
Indonesia,60.5,107.3
Slovakia,60.2,108.8
Pakistan,60.0,106.3
Kazakhstan,59.6,105.2
Kuwait,59.0,105.3
Vietnam,58.6,102.5
Malta,58.6,103.0
Russia,58.5,103.3
Oman,58.4,103.8
Nepal,57.9,101.8
Peru,57.8,101.5
Brazil,57.8,102.9
Kenya,57.5,101.8
Puerto Rico,57.3,104.2
Greece,57.1,101.4
North Macedonia,56.4,100.5
Bulgaria,56.3,99.8
Tunisia,56.2,98.3
Poland,56.1,99.7
Romania,56.0,98.6
Dominican Republic,55.6,97.1
Cyprus,54.6,95.0
Georgia,54.4,94.4
Trinidad And Tobago,53.8,99.0
Ukraine,53.7,93.8
Bosnia And Herzegovina,53.2,95.1
Algeria,53.1,96.5
Hungary,52.9,95.0
Ireland,52.8,96.1
Iran,52.3,91.1
Serbia,52.0,93.3
Albania,50.4,87.7
Cambodia,49.4,87.4
Nigeria,48.5,83.7
Egypt,46.6,80.0
Morocco,45.9,78.4
Belarus,44.8,79.0
Azerbaijan,44.6,77.2
Iraq,44.4,75.4
Bangladesh,42.2,72.1
Venezuela,39.5,68.7
