Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
El Salvador,42.4,3.5,1.0,28.5,100.0,596.3,0.2
Georgia,32.3,5.3,1.8,18.8,55.8,450.3,0.2
Syria,29.1,3.9,4.3,25.4,23.2,317.5,0.3
Hong Kong,27.1,3.0,3.2,33.2,31.5,174.0,0.6
China,26.1,2.9,3.2,34.6,31.0,226.1,0.4
Uganda,23.0,2.3,12.2,43.0,8.2,297.9,0.3
Singapore,22.6,3.8,4.2,26.1,23.7,142.2,0.7
Nepal,21.3,2.0,2.7,50.7,36.8,253.7,0.4
Iran,20.6,5.0,5.6,19.9,17.8,440.0,0.2
Ghana,20.4,11.6,13.3,8.7,7.5,503.9,0.2
Venezuela,20.2,8.6,7.7,11.6,13.1,297.0,0.3
Armenia,19.3,5.6,5.8,17.8,17.2,279.3,0.4
Thailand,19.1,4.7,3.8,21.1,26.0,166.1,0.6
Indonesia,18.8,5.8,5.2,17.3,19.2,200.5,0.5
Philippines,18.8,3.6,3.3,27.4,30.2,220.9,0.5
Algeria,18.6,3.2,4.4,31.6,22.9,151.1,0.7
Ethiopia,18.6,12.8,11.8,7.8,8.5,237.6,0.4
Lebanon,18.3,4.0,6.0,25.2,16.7,155.8,0.6
Cambodia,18.2,9.2,6.4,10.9,15.7,214.1,0.5
Vietnam,17.8,5.6,6.8,17.9,14.6,237.7,0.4
Moldova,17.7,5.3,5.6,18.7,17.9,271.3,0.4
Morocco,17.6,5.5,4.4,18.3,22.7,155.1,0.6
Taiwan,17.3,1.6,2.5,63.0,39.5,105.3,0.9
Serbia,16.9,3.0,3.3,32.8,30.0,160.9,0.6
Belarus,16.8,4.7,5.1,21.2,19.5,556.6,0.2
Azerbaijan,16.6,8.7,11.2,11.4,8.9,190.5,0.5
North Macedonia,16.2,3.6,3.7,27.5,26.8,172.6,0.6
Montenegro,16.0,3.1,3.2,32.6,30.9,185.2,0.5
Ukraine,16.0,5.7,6.2,17.6,16.0,301.7,0.3
Brazil,15.0,4.4,4.6,22.5,21.8,178.8,0.6
Peru,14.8,4.7,5.3,21.2,18.7,172.1,0.6
Albania,14.8,3.8,5.4,26.4,18.6,146.2,0.7
Russia,14.7,7.1,6.5,14.1,15.4,211.4,0.5
Colombia,14.2,5.3,5.3,18.8,18.9,192.0,0.5
Pakistan,13.9,3.2,3.5,31.0,28.3,212.1,0.5
Nigeria,13.9,4.8,5.1,20.7,19.4,273.9,0.4
Trinidad And Tobago,13.4,8.9,3.6,11.2,28.1,138.2,0.7
Croatia,13.4,2.9,3.2,34.9,31.0,121.4,0.8
Romania,13.2,4.8,4.8,20.8,20.7,130.2,0.8
Lithuania,12.9,4.0,4.1,24.8,24.6,94.7,1.1
Israel,12.8,3.6,3.7,27.7,26.8,92.6,1.1
Latvia,12.7,3.8,5.6,26.0,17.7,91.9,1.1
Ecuador,12.7,8.5,7.5,11.7,13.3,129.7,0.8
Mauritius,12.4,4.0,3.7,25.1,27.2,132.7,0.8
Sri Lanka,12.4,6.7,3.7,14.9,26.9,198.0,0.5
Italy,12.2,2.8,3.5,35.4,28.2,98.4,1.0
Bosnia And Herzegovina,12.0,3.0,3.2,33.5,30.8,114.6,0.9
Greece,11.7,3.4,3.4,29.5,29.4,93.9,1.1
Uruguay,11.6,5.9,6.5,17.1,15.5,125.4,0.8
Poland,11.4,4.4,4.8,22.6,20.9,94.6,1.1
South Korea,11.4,3.2,4.1,31.3,24.1,86.3,1.2
Kazakhstan,11.3,6.9,7.5,14.6,13.4,164.9,0.6
Tunisia,11.1,5.3,6.5,18.7,15.3,118.2,0.8
Egypt,11.1,7.4,8.2,13.6,12.2,129.3,0.8
Slovenia,11.1,3.9,4.0,25.6,25.1,92.1,1.1
Bangladesh,11.0,4.3,3.9,23.5,25.9,197.3,0.5
Spain,10.5,3.7,4.4,27.0,22.9,73.6,1.4
Czech Republic,10.4,4.0,4.6,24.8,21.9,74.1,1.3
France,10.3,2.8,3.9,35.3,25.6,73.0,1.4
Dominican Republic,10.3,4.7,9.0,21.3,11.1,165.1,0.6
Estonia,10.2,4.8,5.3,21.0,18.8,69.4,1.4
India,10.2,3.3,3.9,29.9,25.4,126.4,0.8
Bulgaria,9.9,5.4,5.8,18.4,17.2,101.2,1.0
Panama,9.7,10.9,8.2,9.1,12.1,83.2,1.2
Hungary,9.6,3.9,4.3,25.6,23.5,101.6,1.0
Slovakia,9.5,6.2,6.0,16.0,16.6,73.3,1.4
Chile,9.5,5.1,4.6,19.7,21.9,76.3,1.3
Sweden,9.4,2.6,3.3,38.5,30.0,65.0,1.5
Kenya,9.3,14.5,7.9,6.9,12.7,160.0,0.6
Zimbabwe,9.3,9.4,10.1,10.6,9.9,246.7,0.4
Austria,9.2,3.5,3.8,28.7,26.3,63.9,1.6
Malta,9.1,2.5,4.4,39.5,22.6,63.9,1.6
Honduras,9.0,5.6,7.1,17.9,14.0,124.1,0.8
Iraq,9.0,8.8,8.9,11.4,11.2,113.7,0.9
Argentina,9.0,4.6,4.8,21.7,21.0,186.3,0.5
Bolivia,8.6,7.3,6.9,13.7,14.5,85.6,1.2
Portugal,8.4,5.8,6.5,17.1,15.4,62.5,1.6
Japan,8.3,4.1,3.3,24.6,30.5,50.4,2.0
Malaysia,8.0,5.0,4.7,20.0,21.4,64.0,1.6
Guatemala,8.0,8.0,9.2,12.4,10.9,93.1,1.1
Jordan,7.9,7.4,7.2,13.5,13.9,81.5,1.2
Finland,7.8,3.6,4.4,27.7,22.7,49.2,2.0
Luxembourg,7.7,4.8,4.7,20.7,21.3,48.4,2.1
United Kingdom,7.7,4.7,5.2,21.3,19.4,57.6,1.7
Australia,7.4,5.2,5.5,19.4,18.3,64.5,1.6
Norway,7.4,4.6,5.0,21.7,20.0,52.7,1.9
Iceland,7.1,7.7,7.2,13.0,13.9,69.6,1.4
Cyprus,7.1,5.0,4.7,20.2,21.3,62.7,1.6
Switzerland,7.1,3.6,3.6,27.7,27.8,42.7,2.3
Bahrain,6.9,10.7,8.8,9.3,11.3,69.5,1.4
Costa Rica,6.9,8.8,8.6,11.4,11.6,95.4,1.0
Turkey,6.9,5.8,6.9,17.2,14.4,90.4,1.1
Kuwait,6.8,6.7,5.4,14.9,18.4,54.9,1.8
Mozambique,6.6,17.5,14.8,5.7,6.7,140.6,0.7
Mexico,6.5,6.4,5.3,15.7,18.8,80.6,1.2
Denmark,6.4,4.5,4.7,22.2,21.1,44.5,2.2
Netherlands,6.1,5.7,5.8,17.5,17.2,46.3,2.2
Belgium,6.0,5.5,6.1,18.2,16.4,43.2,2.3
Ireland,5.7,5.9,5.7,17.0,17.6,43.3,2.3
Qatar,5.7,9.7,6.5,10.3,15.4,45.4,2.2
Germany,5.6,4.5,4.8,22.2,20.9,38.0,2.6
Canada,5.6,5.5,6.1,18.1,16.5,38.7,2.6
Bahamas,5.5,5.5,7.5,18.0,13.3,60.5,1.7
New Zealand,5.3,6.8,7.9,14.8,12.7,44.4,2.3
United Arab Emirates,5.3,8.8,10.4,11.4,9.6,45.5,2.2
Puerto Rico,5.1,5.2,6.8,19.2,14.7,41.8,2.4
Libya,4.8,17.4,13.5,5.7,7.4,47.0,2.1
Angola,4.5,33.5,17.6,3.0,5.7,71.7,1.4
Jamaica,3.9,9.1,15.7,10.9,6.4,55.2,1.8
South Africa,3.4,9.1,9.0,10.9,11.1,36.9,2.7
Saudi Arabia,3.2,6.6,6.2,15.1,16.0,24.3,4.1
Namibia,3.2,26.1,30.1,3.8,3.3,37.5,2.7
Oman,2.9,11.2,12.5,8.9,8.0,26.7,3.7
United States,2.4,11.0,12.6,9.1,8.0,18.0,5.6
Tanzania,2.0,59.6,27.8,1.7,3.6,35.0,2.9
