Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Hong Kong,49.4,1.8,1.9,54.5,53.8,310.6,0.3
China,29.1,1.8,2.0,54.5,49.9,231.3,0.4
Taiwan,28.9,2.0,2.4,50.7,42.0,174.6,0.6
Sri Lanka,26.3,3.4,3.3,29.4,30.8,403.4,0.2
Nepal,25.1,2.4,2.9,42.0,34.9,325.5,0.3
Thailand,21.9,3.5,3.7,28.4,27.3,182.0,0.5
Philippines,21.8,3.5,3.7,28.5,26.7,206.7,0.5
Singapore,21.6,2.4,2.7,42.1,37.0,133.1,0.8
Algeria,21.2,2.7,3.0,36.8,33.1,180.4,0.6
Vietnam,19.7,4.5,5.8,22.5,17.4,209.4,0.5
Argentina,19.0,2.6,2.8,38.9,35.1,566.2,0.2
Colombia,18.8,4.4,4.7,22.6,21.1,253.3,0.4
Brazil,18.7,3.7,3.8,26.8,26.1,219.8,0.5
Serbia,18.6,3.0,3.3,32.9,30.2,133.1,0.8
South Korea,17.6,1.4,1.7,73.7,57.6,122.1,0.8
Azerbaijan,17.2,5.0,5.7,19.9,17.6,178.9,0.6
Iran,16.9,5.8,7.1,17.2,14.2,335.2,0.3
Peru,16.0,4.8,5.7,20.7,17.6,186.9,0.5
Albania,15.2,4.3,5.3,23.4,19.0,128.8,0.8
Czech Republic,15.2,3.3,3.7,30.3,26.9,96.3,1.0
Morocco,14.7,4.6,4.4,21.7,22.5,122.9,0.8
Ukraine,14.3,6.5,7.6,15.5,13.2,291.4,0.3
Belarus,14.3,4.8,4.6,21.0,22.0,212.6,0.5
Armenia,14.1,6.4,6.3,15.7,15.9,187.1,0.5
Pakistan,14.1,4.1,4.0,24.3,25.0,184.1,0.5
Uruguay,14.0,4.2,4.2,23.5,23.8,143.8,0.7
Israel,14.0,2.7,3.1,37.5,32.1,97.1,1.0
Moldova,13.8,5.7,6.4,17.7,15.7,183.1,0.5
Indonesia,13.8,5.1,5.1,19.7,19.6,143.3,0.7
Montenegro,13.7,4.1,4.1,24.4,24.2,119.8,0.8
Dominican Republic,13.7,6.3,6.9,15.9,14.5,194.7,0.5
North Macedonia,13.7,4.0,4.0,24.8,24.9,120.3,0.8
Egypt,13.6,6.1,6.4,16.5,15.5,200.8,0.5
Chile,13.5,4.3,4.2,23.4,24.0,98.9,1.0
Lebanon,13.4,5.1,6.3,19.8,15.8,117.8,0.8
Ecuador,13.1,5.4,5.0,18.4,19.9,161.9,0.6
France,12.9,2.6,3.1,39.2,31.9,76.3,1.3
Portugal,12.7,4.9,6.3,20.2,15.8,81.0,1.2
Georgia,12.7,6.6,7.3,15.1,13.8,164.7,0.6
Panama,12.7,8.1,7.8,12.4,12.7,101.4,1.0
Hungary,12.6,4.4,5.0,23.0,20.1,105.2,1.0
Russia,12.4,5.9,6.0,17.1,16.6,149.1,0.7
Bangladesh,12.3,3.3,3.8,30.0,26.2,153.8,0.7
Bosnia And Herzegovina,12.3,3.2,3.1,31.0,32.0,100.3,1.0
Tunisia,12.3,4.6,4.9,21.9,20.4,115.8,0.9
Luxembourg,11.6,4.0,4.2,25.1,23.7,70.4,1.4
Croatia,11.6,3.5,3.6,28.9,28.0,89.9,1.1
Kazakhstan,11.5,7.2,6.5,13.8,15.3,203.2,0.5
Guatemala,11.4,6.3,7.5,15.9,13.4,115.1,0.9
India,11.3,2.9,3.6,34.7,28.1,125.8,0.8
Japan,11.2,2.5,3.1,40.3,32.6,64.1,1.6
Lithuania,11.1,4.2,4.4,23.9,22.8,68.4,1.5
Kosovo (Disputed Territory),11.1,4.1,5.1,24.2,19.7,90.4,1.1
Malta,10.8,5.8,7.1,17.3,14.1,76.0,1.3
Slovakia,10.3,5.4,5.3,18.5,19.0,61.5,1.6
Poland,10.3,4.9,5.2,20.6,19.3,73.6,1.4
Sweden,10.3,2.8,3.5,35.9,28.6,67.8,1.5
Mexico,10.2,5.7,5.8,17.6,17.2,126.6,0.8
Slovenia,10.2,3.8,3.9,26.6,25.8,70.0,1.4
Romania,10.2,4.4,4.5,22.7,22.0,72.8,1.4
Austria,10.1,3.4,3.9,29.1,25.6,62.1,1.6
Bolivia,10.1,6.5,7.1,15.4,14.0,94.2,1.1
Italy,10.0,3.7,4.5,27.2,22.3,62.2,1.6
Greece,9.8,4.3,4.2,23.4,24.0,76.9,1.3
Malaysia,9.8,3.8,4.0,26.1,25.0,74.4,1.3
Switzerland,9.6,2.8,3.2,35.3,31.4,56.0,1.8
Latvia,9.4,4.7,5.3,21.4,18.8,60.4,1.7
Costa Rica,9.3,6.9,6.6,14.5,15.1,104.6,1.0
Estonia,9.3,4.2,4.3,23.9,23.2,60.0,1.7
Turkey,9.3,4.9,5.7,20.4,17.4,185.4,0.5
Spain,9.2,4.4,5.1,22.8,19.6,58.0,1.7
United Kingdom,9.2,4.0,4.3,25.2,23.3,62.2,1.6
Germany,9.0,3.3,3.6,29.9,27.9,54.2,1.8
Iraq,9.0,6.3,7.4,15.9,13.5,110.6,0.9
Bulgaria,8.7,5.2,5.9,19.1,17.0,65.3,1.5
Norway,8.4,3.8,4.3,26.2,23.2,54.1,1.8
New Zealand,8.3,4.6,4.9,21.9,20.4,65.2,1.5
Finland,8.0,3.5,4.4,28.7,22.9,46.1,2.2
Ireland,7.9,5.5,7.2,18.1,14.0,56.6,1.8
Jordan,7.7,6.8,7.7,14.8,12.9,76.7,1.3
Canada,7.7,4.4,5.3,22.9,19.0,53.3,1.9
Australia,7.6,4.6,4.8,21.7,20.9,57.4,1.7
Netherlands,7.4,5.2,5.8,19.1,17.2,46.9,2.1
Belgium,7.2,5.0,5.0,19.8,20.0,44.1,2.3
Cyprus,7.2,6.2,6.7,16.1,14.9,50.9,2.0
Denmark,6.9,4.5,4.9,22.4,20.5,42.5,2.4
Iceland,6.6,6.8,7.4,14.6,13.6,58.0,1.7
Qatar,5.7,7.0,7.3,14.4,13.8,44.3,2.3
Palestine,5.4,5.9,6.6,17.0,15.2,53.6,1.9
United Arab Emirates,4.4,10.2,10.7,9.8,9.4,31.5,3.2
South Africa,4.1,9.6,11.2,10.5,9.0,49.2,2.0
United States,3.6,10.4,11.2,9.6,8.9,26.8,3.7
Saudi Arabia,2.9,6.8,7.7,14.7,13.0,20.6,4.8
